dataset,algorithm,group,selected,opt,group_ratio,total_selected,fairness_ratio,global_opt_total,comp_over_global_opt,min_interval_length,max_interval_length,delta,notes
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,Single-run,1,0,2,0.000000,2,0.000000,3,0.666667,40,118561,2964.025000,alpha=0.0 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,Single-run,2,2,2,1.000000,2,0.000000,3,0.666667,40,118561,2964.025000,alpha=0.0 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,Single-run,3,0,1,0.000000,2,0.000000,3,0.666667,40,118561,2964.025000,alpha=0.0 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,OLCFISAS single,1,0,2,0.000000,0,0.000000,3,0.000000,40,118561,2964.025000,seed=42 class=3 group=1
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,OLCFISAS single,2,0,2,0.000000,0,0.000000,3,0.000000,40,118561,2964.025000,seed=42 class=3 group=1
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,OLCFISAS single,3,0,1,0.000000,0,0.000000,3,0.000000,40,118561,2964.025000,seed=42 class=3 group=1
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,OLCFISAS multi avg,1,0,2,0.000000,0,0.000000,3,0.000000,40,118561,2964.025000,runs=2 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,OLCFISAS multi avg,2,0,2,0.000000,0,0.000000,3,0.000000,40,118561,2964.025000,runs=2 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,OLCFISAS multi avg,3,0,1,0.000000,0,0.000000,3,0.000000,40,118561,2964.025000,runs=2 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,Multi-run avg,1,0,2,0.000000,2,0.000000,3,0.666667,40,118561,2964.025000,runs=2 alpha=0.0 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,Multi-run avg,2,1.5,2,0.750000,2,0.000000,3,0.666667,40,118561,2964.025000,runs=2 alpha=0.0 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,Multi-run avg,3,0.5,1,0.500000,2,0.000000,3,0.666667,40,118561,2964.025000,runs=2 alpha=0.0 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,Greedy,1,2,2,1.000000,3,0.000000,3,1.000000,40,118561,2964.025000,global offline greedy
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,Greedy,2,1,2,0.500000,3,0.000000,3,1.000000,40,118561,2964.025000,global offline greedy
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,Greedy,3,0,1,0.000000,3,0.000000,3,1.000000,40,118561,2964.025000,global offline greedy
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,BPA,1,1,2,0.500000,2,0.000000,3,0.666667,40,118561,2964.025000,k=3
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,BPA,2,1,2,0.500000,2,0.000000,3,0.666667,40,118561,2964.025000,k=3
SDSC-SP2-1998-4.2-cln_interval_5groups_first_20,BPA,3,0,1,0.000000,2,0.000000,3,0.666667,40,118561,2964.025000,k=3
